"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"25",67080,-0.0394790204755423,-0.0219746094432974,0.0519747821068954,2.78558275835357e-07,103.62032320443,2.68825909069784e-09,8.78313155666506e-12,2.67947595914118e-09,0,4.7509435774679e-11,-1.90865124826559e-07,-1.14386973986027e-07,2.75870016744659e-07,-0.685072367182951,-0.410569270392962,0.0284763745090566,5.62789664064261,17.7382608205551,4.64082340008076,-1,1,-1
"26",74841,-0.0409407121846104,-0.0228292815975145,0.0540628361248146,2.64628068256139e-07,115.096610512503,2.29918211385897e-09,7.39581547511551e-12,2.29178629838385e-09,0,4.34988413785574e-11,-1.85822975241532e-07,-1.05943958957576e-07,2.6232888614228e-07,-0.702088922052841,-0.400284624900946,0.0259274167372794,5.65251491041931,17.1923754653343,4.74586790485942,-1,1,-1
"27",84400,-0.0426523653185513,-0.0238112123391153,0.0564880083191317,2.47076073213955e-07,132.460892254095,1.86527562218135e-09,5.87630690556381e-12,1.85939931527579e-09,0,3.90421060320447e-11,-1.72255136237846e-07,-9.96473272290851e-08,2.45210797591773e-07,-0.697064345961981,-0.403242541841493,0.0228706431197681,5.64145596257001,16.4882892205011,4.88639223188473,-1,1,-1
"28",95360,-0.0444646939111035,-0.0248707145170125,0.0590827828296754,2.29964785761508e-07,153.428547979632,1.49883961485471e-09,4.62008945362745e-12,1.49421952540108e-09,0,3.48014737934453e-11,-1.58635619360062e-07,-9.37445932779403e-08,2.28465946146654e-07,-0.689721321968154,-0.407585919630519,0.0200587294812658,5.62358294591842,15.7827960647442,5.03334963433555,-1,1,-1
"29",107840,-0.0463641363662805,-0.0260072162079441,0.0618367097635209,2.14287530831682e-07,177.292803055473,1.20866457712124e-09,3.64659403715262e-12,1.20501798308408e-09,0,3.08945448409905e-11,-1.4596117296173e-07,-8.84491971591147e-08,2.13078866254561e-07,-0.681048177287136,-0.412699920707815,0.0176299424233229,5.61675285282413,15.118188954856,5.17792778669173,-1,1,-1
"30",119460,-0.048038621757783,-0.0269997354219434,0.064255060412937,2.04320535568093e-07,195.453360052867,1.04536721964169e-09,3.10861954044261e-12,1.04225860010125e-09,0,2.8063009690014e-11,-1.42324844843098e-07,-8.24258082186147e-08,2.03275168348451e-07,-0.696480650386863,-0.403358813284156,0.0161599521127764,5.66590416301561,14.6857510180711,5.27545450663087,-1,1,-1
"31",132700,-0.0498541484219685,-0.0280582569237645,0.0668576203762358,1.9083087792083e-07,224.790807946799,8.48926518231982e-10,2.47262453518168e-12,8.464538936968e-10,0,2.50350095982255e-11,-1.32022734691954e-07,-7.75173453423673e-08,1.89981951402598e-07,-0.691740343093691,-0.406156372900138,0.0142631930819575,5.64008053482096,14.0871041300125,5.41531449280853,-1,1,-1
"32",148780,-0.0518962027114293,-0.0292627056606144,0.0698038237088186,1.77366066077994e-07,261.122207389004,6.79245430143613e-10,1.93491164648794e-12,6.77310518497125e-10,0,2.20423528401626e-11,-1.22162664979791e-07,-7.23621931828581e-08,1.7668682064785e-07,-0.688674489290376,-0.407931477611269,0.0124774968578137,5.62131767602751,13.4728237205175,5.56514614037237,-1,1,-1
"33",167180,-0.0540451979154443,-0.0305640695331989,0.0729473973469911,1.65752902030804e-07,299.956979565802,5.52588915486271e-10,1.54206228608938e-12,5.51046853200181e-10,0,1.9348685285067e-11,-1.11559333643952e-07,-6.91700660510678e-08,1.65200313115318e-07,-0.672967478948056,-0.417259618255002,0.0110247282443407,5.63389712125773,12.9282210382087,5.70381000700433,-1,1,-1
"34",186180,-0.0561250692231371,-0.0318199813923795,0.0759871778611691,1.55329434829441e-07,342.620051298948,4.53357689488845e-10,1.24042564445049e-12,4.52117263844395e-10,0,1.7049982576582e-11,-1.07381773318106e-07,-6.31048427321972e-08,1.54876077139952e-07,-0.691240445176778,-0.406219959264348,0.00979051261769768,5.66511533374288,12.4265703143586,5.83680678298211,-1,1,-1
"35",206020,-0.0581820711751264,-0.0330299545816741,0.0789560699442838,1.44867716593598e-07,395.197516617403,3.66570412267662e-10,9.81942992109657e-13,3.65588469275553e-10,0,1.50005042109446e-11,-9.98959173867156e-08,-5.89972360174963e-08,1.4450114618133e-07,-0.689495057711245,-0.407206858066225,0.00861886882088914,5.64832822610691,11.9096654309527,5.97958619402698,-1,1,-1
"36",230180,-0.0604875121858664,-0.0344033728215768,0.0823061191603887,1.33249215431868e-07,468.975813279362,2.84128118463314e-10,7.42012029690188e-13,2.83386106433624e-10,0,1.29287965783113e-11,-9.10636638487261e-08,-5.47505139902345e-08,1.32965087313404e-07,-0.68334232783032,-0.410848214301414,0.00739744780668009,5.61995865558314,11.3181846334756,6.15077232024979,-1,1,-1
"37",257900,-0.0628905145224583,-0.0358792976256078,0.0858534248807355,1.23321544420676e-07,549.535912624762,2.24410346234976e-10,5.72428908926192e-13,2.2383791732605e-10,0,1.11040951799248e-11,-8.24424128622315e-08,-5.17614387783009e-08,1.23097134074441e-07,-0.668455707830131,-0.419689671803701,0.00642118187086568,5.61927249627543,10.7966194675506,6.30931604433338,-1,1,-1
"38",281700,-0.0648207952878102,-0.0370666939052134,0.0887060878882178,1.16906795889314e-07,613.046959815973,1.9069794575673e-10,4.78602191608916e-13,1.90219343565121e-10,0,9.86695078657940e-12,-7.98822726020011e-08,-4.8025187320749e-08,1.16716097943558e-07,-0.683241128009706,-0.41076426707825,0.00582381518195088,5.66820296261259,10.4508592590537,6.41869883023039,-1,1,-1
"39",312140,-0.0671478568980563,-0.0384730866039946,0.0921156844678325,1.07557131843975e-07,727.12478897676,1.47921145688533e-10,3.6195736664418e-13,1.47559188321889e-10,0,8.45437121670085e-12,-7.30874615869066e-08,-4.44215726260382e-08,1.07409210698287e-07,-0.679468816733732,-0.412971975415725,0.00500074295340901,5.6319069440388,9.93331745112752,6.5893811905369,-1,1,-1
